fold,mode,experiment_name,relative_path,rows,columns,column_names,target_column,score_column,split_column,group_column,inferred_split,read_error,usable_for_metrics
1,power2,polar_repr_v2_power2_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/test_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
1,power2,polar_repr_v2_power2_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/val_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
1,power2,polar_repr_v2_power2_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,134,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
1,ri4,polar_repr_v2_ri4_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/test_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
1,ri4,polar_repr_v2_ri4_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/val_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
1,ri4,polar_repr_v2_ri4_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,146,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
1,polar6_gated,polar_repr_v2_polar6_gated_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/test_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
1,polar6_gated,polar_repr_v2_polar6_gated_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/val_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
1,polar6_gated,polar_repr_v2_polar6_gated_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,140,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
1,ri8_gated,polar_repr_v2_ri8_gated_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/test_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
1,ri8_gated,polar_repr_v2_ri8_gated_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/val_predictions.csv,203,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
1,ri8_gated,polar_repr_v2_ri8_gated_v4_fold01_seed42_formal,results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,141,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
4,power2,polar_repr_v2_power2_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/test_predictions.csv,202,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
4,power2,polar_repr_v2_power2_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/val_predictions.csv,210,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
4,power2,polar_repr_v2_power2_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,132,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
4,ri4,polar_repr_v2_ri4_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/test_predictions.csv,202,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
4,ri4,polar_repr_v2_ri4_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/val_predictions.csv,210,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
4,ri4,polar_repr_v2_ri4_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,145,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
4,polar6_gated,polar_repr_v2_polar6_gated_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/test_predictions.csv,202,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
4,polar6_gated,polar_repr_v2_polar6_gated_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/val_predictions.csv,210,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
4,polar6_gated,polar_repr_v2_polar6_gated_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,141,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
4,ri8_gated,polar_repr_v2_ri8_gated_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_ri8_gated_v4_fold04_seed42_formal/tables/test_predictions.csv,202,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,test,,True
4,ri8_gated,polar_repr_v2_ri8_gated_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_ri8_gated_v4_fold04_seed42_formal/tables/val_predictions.csv,210,18,sample_id|target_present|score|pred_range_index|pred_velocity_index|true_range_index|true_velocity_index|range_error_gates|velocity_error_bins|localization_ok|beam_layer|azimuth_deg|distance_m|velocity_mps|mat_path|detected|false_alarm|correct_detection,target_present,score,,,validation,,True
4,ri8_gated,polar_repr_v2_ri8_gated_v4_fold04_seed42_formal,results/experiments/polar_repr_v2_ri8_gated_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,139,5,threshold|false_alarm_count|pfa|score_recall|joint_pd,,,,,validation,,False
